"","","Hauptgericht 1","Hauptgericht 2","Fleischlos","Beilage 1","Beilage 2","Beilage 3","Beilage 4"
"Montag
01.04.2019","Kilokalorien
Kilojoule
Eiweiß (Protein)
Fett
Kohlenhydrate, resorbierbare","3282,5 kcal","","740,2 kcal","153,9 kcal","136 kcal","34,9 kcal",""
"","","13542,3 kJ","","3076,4 kJ","642,2 kJ","569,8 kJ","145,2 kJ",""
"","","56,8 g","","12 g","5,9 g","2,9 g","1,4 g",""
"","","320,2 g","","50,1 g","5 g","4,4 g","1,8 g",""
"","","42,7 g","","61,3 g","20,9 g","20 g","3,1 g",""
"Dienstag
02.04.2019","Kilokalorien
Kilojoule
Eiweiß (Protein)
Fett
Kohlenhydrate, resorbierbare","374,4 kcal","","791,2 kcal","204,6 kcal","217,8 kcal","34,9 kcal",""
"","","1563 kJ","","3321,3 kJ","866,9 kJ","915,4 kJ","145,2 kJ",""
"","","45,1 g","","22,1 g","4 g","2,5 g","1,4 g",""
"","","20,3 g","","28,9 g","2,5 g","12,7 g","1,8 g",""
"","","2,7 g","","109,5 g","40,9 g","22,5 g","3,1 g",""
"Mittwoch
03.04.2019","Kilokalorien
Kilojoule
Eiweiß (Protein)
Fett
Kohlenhydrate, resorbierbare","314,9 kcal","","801,3 kcal","77,7 kcal","148,3 kcal","32,7 kcal",""
"","","1318,8 kJ","","3337,4 kJ","329,7 kJ","627,2 kJ","137,9 kJ",""
"","","37,3 g","","17,8 g","2 g","4,8 g","1,3 g",""
"","","16,9 g","","43 g","0,9 g","1,4 g","1,4 g",""
"","","3,4 g","","84,6 g","14,8 g","28,4 g","4,1 g",""
"Donnerstag
04.04.2019","Kilokalorien
Kilojoule
Eiweiß (Protein)
Fett
Kohlenhydrate, resorbierbare","306,5 kcal","","505,5 kcal","153,9 kcal","152,1 kcal","31 kcal",""
"","","1282,8 kJ","","2085,5 kJ","642,2 kJ","643,5 kJ","129,6 kJ",""
"","","43,6 g","","6,3 g","5,9 g","7,3 g","1,4 g",""
"","","13,5 g","","50,4 g","5 g","1,7 g","0,5 g",""
"","","1,9 g","","7 g","20,9 g","26 g","4,2 g",""
"Freitag
05.04.2019","Kilokalorien
Kilojoule
Eiweiß (Protein)
Fett
Kohlenhydrate, resorbierbare","637,6 kcal","","226,9 kcal","217,8 kcal","34,9 kcal","",""
"","","2675 kJ","","953,9 kJ","915,4 kJ","145,2 kJ","",""
"","","2 g","","19,2 g","2,5 g","1,4 g","",""
"","","0,8 g","","4,9 g","12,7 g","1,8 g","",""
"","","20,5 g","","21 g","22,5 g","3,1 g","",""
